일시,기온,강수량,풍속,습도,일조,일사,적설,전운량,지면온도
2021_10_19@3,12.3,,1.9,65.0,,,,5.0,12.1
2021_10_19@4,12.7,,2.7,66.0,,,,7.0,11.9
2021_10_19@5,12.8,,2.2,65.0,,,,6.0,12.1
2021_10_19@6,12.8,,1.9,66.0,,,,6.0,12.0
2021_10_19@7,13.6,,2.8,65.0,0.0,0.0,,6.0,12.0
2021_10_19@8,14.8,,2.8,67.0,0.3,0.14,,6.0,13.3
2021_10_19@9,16.9,,2.5,65.0,0.3,0.44,,10.0,15.2
2021_10_19@10,16.5,0.5,3.7,79.0,0.0,0.24,,6.0,16.3
2021_10_19@11,19.6,,3.8,62.0,0.7,1.82,,3.0,22.6
2021_10_19@12,20.0,,4.2,62.0,0.7,2.01,,6.0,24.4
2021_10_19@13,19.6,,4.5,62.0,0.6,1.88,,5.0,23.9
2021_10_19@14,20.1,,4.3,60.0,0.9,2.21,,4.0,24.9
2021_10_19@15,19.7,,5.4,57.0,0.6,1.59,,8.0,22.9
2021_10_19@16,18.6,0.0,5.8,65.0,0.3,0.58,,6.0,20.2
2021_10_19@17,17.8,,5.6,65.0,0.5,0.48,,7.0,18.3
2021_10_19@18,16.9,,7.2,68.0,0.0,0.01,,8.0,16.8
2021_10_19@19,16.7,,6.2,61.0,,,,4.0,15.7
2021_10_19@20,16.4,,5.4,57.0,,,,7.0,15.0
2021_10_19@21,16.0,,6.2,60.0,,,,7.0,14.5
2021_10_19@22,15.0,,5.2,56.0,,,,9.0,13.9
2021_10_19@23,14.8,,5.2,56.0,,,,7.0,13.6
2021_10_20@0,14.8,,4.2,57.0,,,,8.0,13.4
2021_10_20@1,14.8,,4.6,58.0,,,,10.0,13.5
2021_10_20@2,14.7,,4.0,58.0,,,,8.0,13.3
2021_10_20@3,14.4,,3.8,60.0,,,,7.0,13.0
2021_10_20@4,14.4,,5.0,62.0,,,,7.0,13.1
2021_10_20@5,14.4,,5.0,58.0,,,,6.0,13.1
2021_10_20@6,14.2,,5.4,63.0,,,,8.0,13.0
2021_10_20@7,13.8,,4.1,62.0,0.0,0.0,,9.0,12.7
2021_10_20@8,13.8,,4.4,61.0,0.0,0.04,,9.0,13.5
2021_10_20@9,14.2,,4.5,61.0,0.0,0.41,,9.0,14.9
2021_10_20@10,14.5,,5.0,57.0,0.0,0.66,,9.0,16.1
2021_10_20@11,14.9,,2.6,59.0,0.0,0.61,,9.0,17.1
2021_10_20@12,15.4,,2.3,56.0,0.0,0.81,,9.0,18.7
2021_10_20@13,16.3,,2.7,53.0,0.1,1.34,,9.0,21.0
2021_10_20@14,15.8,,2.6,53.0,0.1,1.03,,9.0,20.4
2021_10_20@15,15.1,,2.2,56.0,0.0,0.51,,9.0,18.5
2021_10_20@16,14.7,,2.3,55.0,0.0,0.15,,9.0,16.8
2021_10_20@17,14.5,,1.8,55.0,0.0,0.04,,9.0,15.9
2021_10_20@18,14.4,,1.8,56.0,0.0,0.0,,9.0,15.0
2021_10_20@19,14.4,,2.4,55.0,,,,10.0,14.3
2021_10_20@20,14.0,,0.6,61.0,,,,10.0,14.1
2021_10_20@21,13.9,,1.5,63.0,,,,9.0,14.0
2021_10_20@22,13.7,,0.8,65.0,,,,10.0,14.2
2021_10_20@23,13.9,,1.2,67.0,,,,10.0,14.1
2021_10_21@0,13.9,,1.7,68.0,,,,9.0,14.0
2021_10_21@1,13.6,,1.2,71.0,,,,10.0,14.1
2021_10_21@2,13.9,,1.7,69.0,,,,10.0,14.2
2021_10_21@3,14.5,,3.2,65.0,,,,9.0,13.8
2021_10_21@4,14.5,,3.8,66.0,,,,9.0,13.8
2021_10_21@5,14.3,,3.8,66.0,,,,9.0,13.6
2021_10_21@6,14.1,,2.3,68.0,,,,9.0,13.4
2021_10_21@7,14.2,,3.1,68.0,0.0,0.0,,9.0,13.4
2021_10_21@8,14.6,,2.7,68.0,0.0,0.04,,9.0,14.3
2021_10_21@9,15.5,,2.9,63.0,0.1,0.33,,7.0,15.7
2021_10_21@10,17.3,,3.2,56.0,0.7,1.37,,8.0,19.0
2021_10_21@11,17.1,,3.9,61.0,0.4,1.5,,8.0,21.3
2021_10_21@12,16.9,,4.7,61.0,0.3,1.25,,7.0,21.6
2021_10_21@13,18.3,,3.5,54.0,0.9,2.34,,8.0,25.7
2021_10_21@14,18.8,,3.4,56.0,0.7,2.07,,7.0,26.4
2021_10_21@15,18.0,,2.4,56.0,0.7,1.59,,8.0,24.4
2021_10_21@16,18.2,,2.9,54.0,0.6,0.99,,7.0,21.6
2021_10_21@17,16.7,,3.6,56.0,0.4,0.46,,5.0,19.0
2021_10_21@18,15.7,,3.5,58.0,0.1,0.06,,5.0,16.8
2021_10_21@19,15.5,,3.8,56.0,,,,3.0,15.7
2021_10_21@20,15.3,,4.1,56.0,,,,3.0,14.7
2021_10_21@21,15.3,,3.9,58.0,,,,7.0,14.4
2021_10_21@22,15.3,,3.9,62.0,,,,4.0,14.3
2021_10_21@23,15.2,,3.5,64.0,,,,5.0,14.3
2021_10_22@0,15.0,,3.7,64.0,,,,3.0,13.6
2021_10_22@1,15.0,,4.5,64.0,,,,6.0,13.6
2021_10_22@2,15.1,,3.8,68.0,,,,6.0,13.8
2021_10_22@3,15.0,,4.4,67.0,,,,3.0,13.4
2021_10_22@4,15.0,,3.5,67.0,,,,5.0,13.4
2021_10_22@5,15.1,,4.4,62.0,,,,4.0,13.3
2021_10_22@6,15.2,,4.2,65.0,,,,5.0,13.4
2021_10_22@7,15.3,,4.1,65.0,0.0,0.0,,5.0,13.1
2021_10_22@8,15.7,,4.7,64.0,0.2,0.09,,7.0,13.8
2021_10_22@9,17.2,,5.6,59.0,0.8,0.9,,4.0,16.1
2021_10_22@10,17.4,,5.2,58.0,0.4,1.11,,6.0,19.1
2021_10_22@11,16.7,,4.9,62.0,0.2,0.92,,7.0,19.2
2021_10_22@12,18.7,,4.1,59.0,0.6,1.94,,3.0,24.8
2021_10_22@13,19.0,,4.1,55.0,0.8,2.35,,6.0,26.2
2021_10_22@14,18.6,,5.8,46.0,0.8,2.1,,4.0,25.5
2021_10_22@15,18.1,,6.4,49.0,0.6,1.47,,4.0,23.4
2021_10_22@16,17.4,,5.6,59.0,0.7,1.24,,6.0,21.4
2021_10_22@17,17.1,,6.2,56.0,0.7,0.54,,2.0,18.6
2021_10_22@18,16.1,,6.5,54.0,0.2,0.04,,3.0,16.8
2021_10_22@19,15.9,,7.5,56.0,,,,2.0,15.6
2021_10_22@20,15.9,,5.9,57.0,,,,4.0,15.3
2021_10_22@21,15.8,,7.7,55.0,,,,3.0,14.7
2021_10_22@22,15.7,,7.4,52.0,,,,1.0,14.2
2021_10_22@23,15.6,,8.4,47.0,,,,1.0,13.7
2021_10_23@0,15.5,,7.1,52.0,,,,1.0,13.5
2021_10_23@1,15.4,,4.1,52.0,,,,0.0,13.1
2021_10_23@2,15.3,,4.4,55.0,,,,0.0,12.9
2021_10_23@3,14.0,,1.7,59.0,,,,1.0,12.7
2021_10_23@4,13.1,,1.4,64.0,,,,1.0,12.1
2021_10_23@5,12.6,,1.8,68.0,,,,0.0,11.7
2021_10_23@6,12.7,,2.1,69.0,,,,0.0,11.4
2021_10_23@7,12.2,,1.8,70.0,0.0,0.0,,0.0,11.3
2021_10_23@8,12.9,,1.8,68.0,0.8,0.21,,2.0,11.7
2021_10_23@9,17.1,,1.0,58.0,1.0,0.92,,5.0,15.0
2021_10_23@10,18.2,,3.4,53.0,1.0,1.53,,7.0,19.0
2021_10_23@11,19.5,,2.6,51.0,0.9,1.71,,4.0,23.0
2021_10_23@12,19.9,,3.5,50.0,1.0,2.58,,2.0,27.5
2021_10_23@13,19.5,,4.7,53.0,1.0,2.64,,1.0,28.7
2021_10_23@14,19.8,,4.2,53.0,1.0,2.49,,1.0,29.3
2021_10_23@15,19.8,,4.1,55.0,1.0,2.07,,2.0,27.5
2021_10_23@16,19.3,,4.3,56.0,1.0,1.46,,1.0,23.0
2021_10_23@17,18.8,,2.4,55.0,1.0,0.73,,1.0,19.9
2021_10_23@18,17.5,,1.5,57.0,0.6,0.09,,1.0,18.0
2021_10_23@19,16.5,,2.5,64.0,,,,0.0,16.7
2021_10_23@20,15.3,,1.2,68.0,,,,3.0,15.7
2021_10_23@21,14.7,,0.8,68.0,,,,2.0,14.8
2021_10_23@22,14.4,,1.4,67.0,,,,4.0,14.4
2021_10_23@23,14.1,,1.0,67.0,,,,1.0,13.8
2021_10_24@0,13.8,,1.0,67.0,,,,7.0,13.6
2021_10_24@1,13.8,,2.2,64.0,,,,5.0,13.1
2021_10_24@2,13.8,,2.5,62.0,,,,6.0,12.9
2021_10_24@3,14.2,,2.2,63.0,,,,8.0,13.5
2021_10_24@4,14.5,,2.6,61.0,,,,8.0,13.4
2021_10_24@5,14.4,,1.7,62.0,,,,9.0,13.4
2021_10_24@6,14.8,,2.3,66.0,,,,9.0,13.6
2021_10_24@7,15.2,,1.3,71.0,0.0,0.0,,9.0,14.1
2021_10_24@8,15.8,,1.5,75.0,0.0,0.04,,9.0,15.1
2021_10_24@9,17.0,,1.0,74.0,0.0,0.25,,9.0,16.7
2021_10_24@10,18.1,,0.7,73.0,0.0,0.45,,9.0,18.4
2021_10_24@11,19.4,,3.0,69.0,0.0,0.92,,9.0,21.2
2021_10_24@12,19.7,,3.6,69.0,0.0,1.2,,9.0,23.1
2021_10_24@13,20.1,,4.5,68.0,0.6,1.73,,9.0,25.7
2021_10_24@14,20.4,,3.8,69.0,0.5,1.55,,9.0,25.8
2021_10_24@15,20.0,,3.9,70.0,0.0,1.06,,9.0,24.5
2021_10_24@16,19.6,,4.7,70.0,0.0,0.65,,9.0,22.8
2021_10_24@17,19.2,,3.0,71.0,0.0,0.15,,9.0,20.9
2021_10_24@18,18.7,,3.2,72.0,0.0,0.0,,9.0,19.5
2021_10_24@19,18.4,,1.4,73.0,,,,9.0,18.9
2021_10_24@20,18.0,,1.7,73.0,,,,9.0,18.1
2021_10_24@21,17.5,,1.4,73.0,,,,8.0,17.7
2021_10_24@22,17.4,,1.7,69.0,,,,9.0,17.3
2021_10_24@23,17.3,,1.1,68.0,,,,9.0,17.0
2021_10_25@0,16.9,,1.1,71.0,,,,10.0,16.7
2021_10_25@1,16.7,,2.2,70.0,,,,10.0,16.4
2021_10_25@2,16.3,,1.8,72.0,,,,8.0,15.8
2021_10_25@3,16.1,,1.5,74.0,,,,10.0,16.0
2021_10_25@4,16.2,,1.6,75.0,,,,8.0,16.0
2021_10_25@5,15.7,,1.6,79.0,,,,3.0,15.1
2021_10_25@6,14.9,,1.6,84.0,,,,1.0,14.3
2021_10_25@7,14.4,,1.6,86.0,0.0,0.0,,3.0,14.0
2021_10_25@8,15.1,,1.3,81.0,0.2,0.13,,4.0,15.0
2021_10_25@9,17.1,,0.8,73.0,0.3,0.4,,4.0,16.5
2021_10_25@10,19.5,,3.0,56.0,0.6,1.18,,3.0,20.0
2021_10_25@11,20.1,,4.1,55.0,1.0,2.12,,1.0,25.3
2021_10_25@12,20.2,,3.8,56.0,1.0,2.48,,0.0,28.4
2021_10_25@13,20.5,,4.2,55.0,1.0,2.57,,0.0,30.1
2021_10_25@14,20.7,,3.6,58.0,1.0,2.39,,2.0,30.0
2021_10_25@15,20.5,,3.2,58.0,1.0,1.96,,1.0,28.2
2021_10_25@16,19.6,,2.7,58.0,1.0,1.35,,0.0,23.9
2021_10_25@17,19.1,,3.1,57.0,1.0,0.63,,0.0,20.8
2021_10_25@18,17.3,,3.2,62.0,0.5,0.07,,0.0,18.6
2021_10_25@19,16.4,,1.4,66.0,,,,0.0,17.3
2021_10_25@20,15.2,,2.5,69.0,,,,0.0,16.3
2021_10_25@21,14.5,,2.0,71.0,,,,3.0,15.4
2021_10_25@22,14.5,,2.0,71.0,,,,0.0,15.5
2021_10_25@23,14.2,,1.8,71.0,,,,0.0,15.3
2021_10_26@0,13.5,,3.2,74.0,,,,2.0,14.3
2021_10_26@1,13.2,,2.8,77.0,,,,0.0,13.8
2021_10_26@2,12.8,,3.2,77.0,,,,0.0,13.3
2021_10_26@3,12.7,,3.1,76.0,,,,0.0,12.8
2021_10_26@4,12.3,,3.2,71.0,,,,0.0,12.4
2021_10_26@5,12.3,,2.9,73.0,,,,0.0,12.2
2021_10_26@6,12.3,,2.9,75.0,,,,0.0,12.0
2021_10_26@7,12.3,,3.1,76.0,0.0,0.0,,1.0,12.0
2021_10_26@8,13.3,,2.1,78.0,0.6,0.13,,4.0,12.8
2021_10_26@9,17.0,,2.8,66.0,0.7,0.74,,5.0,16.1
2021_10_26@10,19.7,,2.3,51.0,1.0,1.52,,1.0,20.7
2021_10_26@11,19.8,,2.2,46.0,1.0,2.09,,2.0,24.7
2021_10_26@12,20.5,,2.3,46.0,1.0,2.53,,0.0,28.5
2021_10_26@13,20.5,,2.9,47.0,1.0,2.62,,0.0,30.2
2021_10_26@14,20.9,,2.6,44.0,1.0,2.46,,2.0,30.3
2021_10_26@15,21.0,,3.0,40.0,1.0,2.08,,5.0,28.1
2021_10_26@16,20.2,,2.5,47.0,1.0,1.38,,7.0,23.6
2021_10_26@17,18.9,,1.7,52.0,1.0,0.54,,8.0,20.7
2021_10_26@18,17.2,,2.1,59.0,0.2,0.07,,7.0,18.5
2021_10_26@19,15.9,,2.1,64.0,,,,7.0,17.2
2021_10_26@20,14.9,,2.6,63.0,,,,6.0,16.1
2021_10_26@21,14.6,,2.3,65.0,,,,7.0,15.6
2021_10_26@22,14.5,,2.7,68.0,,,,5.0,15.2
2021_10_26@23,14.7,,2.4,72.0,,,,9.0,15.2
2021_10_27@0,14.9,,2.0,76.0,,,,7.0,15.1
2021_10_27@1,15.3,,2.3,77.0,,,,8.0,15.0
2021_10_27@2,15.0,,2.3,78.0,,,,7.0,14.4
2021_10_27@3,14.7,,2.3,77.0,,,,8.0,14.3
2021_10_27@4,14.1,,1.9,77.0,,,,6.0,13.7
2021_10_27@5,13.9,,2.6,69.0,,,,7.0,13.5
2021_10_27@6,14.6,,2.4,73.0,,,,5.0,13.7
2021_10_27@7,15.1,,1.9,77.0,0.0,0.0,,8.0,14.2
2021_10_27@8,15.9,,0.4,77.0,0.0,0.03,,8.0,15.4
2021_10_27@9,18.5,,2.0,71.0,0.5,0.51,,2.0,17.3
2021_10_27@10,20.8,,2.5,59.0,1.0,1.43,,1.0,21.6
2021_10_27@11,21.0,,3.4,58.0,1.0,1.91,,2.0,25.2
2021_10_27@12,21.8,,3.3,60.0,1.0,2.19,,3.0,27.8
2021_10_27@13,21.8,,2.8,59.0,1.0,2.34,,2.0,29.3
2021_10_27@14,21.5,,3.4,60.0,1.0,2.04,,3.0,28.8
2021_10_27@15,20.6,,3.3,68.0,0.4,1.13,,7.0,26.2
2021_10_27@16,20.0,,4.4,66.0,0.3,0.69,,7.0,23.8
2021_10_27@17,19.7,,4.6,61.0,1.0,0.53,,1.0,20.8
2021_10_27@18,18.2,,3.7,59.0,0.5,0.06,,1.0,18.6
2021_10_27@19,17.5,,3.4,61.0,,,,0.0,17.3
2021_10_27@20,16.9,,2.9,63.0,,,,0.0,16.4
2021_10_27@21,16.5,,3.6,63.0,,,,1.0,15.8
2021_10_27@22,15.9,,4.0,62.0,,,,0.0,15.1
2021_10_27@23,15.7,,3.1,64.0,,,,0.0,14.6
2021_10_28@0,15.5,,3.9,65.0,,,,2.0,14.4
2021_10_28@1,14.3,,1.2,68.0,,,,0.0,13.8
2021_10_28@2,13.6,,0.9,72.0,,,,0.0,13.3
2021_10_28@3,13.5,,1.0,74.0,,,,4.0,13.3
2021_10_28@4,13.9,,2.0,75.0,,,,6.0,13.1
2021_10_28@5,14.5,,1.5,73.0,,,,5.0,13.4
2021_10_28@6,13.6,,2.7,75.0,,,,3.0,13.3
2021_10_28@7,13.4,,1.8,76.0,0.0,0.0,,4.0,12.9
2021_10_28@8,13.8,,1.5,73.0,0.7,0.2,,2.0,13.0
2021_10_28@9,17.5,,2.7,62.0,1.0,0.92,,3.0,15.2
2021_10_28@10,19.4,,2.4,54.0,1.0,1.54,,2.0,20.5
2021_10_28@11,20.1,,2.5,48.0,1.0,2.17,,1.0,25.2
2021_10_28@12,19.9,,3.4,46.0,1.0,2.54,,1.0,28.3
2021_10_28@13,20.5,,3.4,45.0,1.0,2.64,,3.0,30.1
2021_10_28@14,20.7,,2.8,46.0,1.0,2.42,,4.0,30.1
2021_10_28@15,19.8,,3.1,47.0,1.0,1.92,,3.0,27.6
2021_10_28@16,19.6,,3.2,44.0,1.0,1.42,,1.0,22.9
2021_10_28@17,18.5,,2.6,49.0,0.8,0.55,,2.0,19.8
2021_10_28@18,17.5,,1.7,52.0,0.4,0.04,,1.0,17.9
2021_10_28@19,16.6,,2.2,54.0,,,,0.0,16.6
2021_10_28@20,15.7,,2.5,56.0,,,,0.0,15.7
2021_10_28@21,15.5,,1.3,69.0,,,,2.0,15.2
2021_10_28@22,16.0,,1.7,75.0,,,,5.0,15.3
2021_10_28@23,16.5,,1.3,78.0,,,,6.0,15.4
2021_10_29@0,16.6,,1.3,79.0,,,,7.0,15.5
2021_10_29@1,16.5,,2.7,77.0,,,,3.0,14.9
2021_10_29@2,16.1,,2.5,79.0,,,,1.0,14.5
2021_10_29@3,16.5,,2.2,79.0,,,,7.0,15.1
2021_10_29@4,17.0,,2.2,78.0,,,,7.0,15.5
2021_10_29@5,16.9,,2.4,76.0,,,,4.0,14.9
2021_10_29@6,16.8,,1.7,76.0,,,,8.0,15.0
2021_10_29@7,17.0,,1.4,76.0,0.0,0.0,,8.0,15.5
2021_10_29@8,17.4,,1.8,76.0,0.2,0.09,,8.0,16.0
2021_10_29@9,19.6,,3.4,69.0,0.7,0.68,,6.0,18.2
2021_10_29@10,20.0,,5.2,68.0,0.6,1.14,,8.0,20.9
2021_10_29@11,20.7,,5.7,62.0,0.5,1.29,,4.0,24.1
2021_10_29@12,21.1,,6.5,59.0,1.0,2.49,,4.0,28.3
2021_10_29@13,20.9,,7.3,60.0,1.0,2.56,,4.0,29.8
2021_10_29@14,20.4,,6.9,63.0,0.8,1.93,,2.0,28.1
2021_10_29@15,20.7,,5.6,61.0,0.9,1.64,,2.0,26.8
2021_10_29@16,20.6,,5.6,58.0,1.0,1.36,,2.0,23.5
2021_10_29@17,20.4,,2.9,59.0,1.0,0.63,,1.0,21.0
2021_10_29@18,18.7,,2.1,64.0,0.5,0.05,,1.0,19.1
2021_10_29@19,17.7,,1.6,70.0,,,,1.0,17.9
2021_10_29@20,17.2,,1.6,72.0,,,,3.0,17.0
2021_10_29@21,16.9,,2.2,72.0,,,,0.0,16.3
2021_10_29@22,16.5,,2.1,77.0,,,,3.0,15.8
2021_10_29@23,16.9,,1.7,77.0,,,,5.0,16.2
2021_10_30@0,16.8,,1.9,76.0,,,,5.0,15.8
2021_10_30@1,16.9,,1.9,75.0,,,,8.0,16.1
2021_10_30@2,16.6,,1.6,76.0,,,,7.0,15.5
2021_10_30@3,16.4,,2.2,77.0,,,,7.0,15.1
2021_10_30@4,16.2,,2.2,79.0,,,,6.0,14.9
2021_10_30@5,16.1,,1.3,79.0,,,,9.0,14.8
2021_10_30@6,16.4,,1.8,77.0,,,,9.0,14.9
2021_10_30@7,16.3,,2.2,77.0,0.0,0.0,,9.0,14.8
2021_10_30@8,16.8,,2.0,76.0,0.0,0.04,,9.0,15.8
2021_10_30@9,17.8,,1.2,74.0,0.0,0.31,,8.0,17.3
2021_10_30@10,19.7,,3.9,66.0,0.2,0.87,,8.0,20.4
2021_10_30@11,21.4,,4.0,60.0,0.5,1.62,,7.0,25.4
2021_10_30@12,20.2,,4.1,63.0,0.2,1.31,,10.0,24.3
2021_10_30@13,19.4,,3.8,72.0,0.0,0.6,,10.0,22.8
2021_10_30@14,19.5,,3.5,72.0,0.0,0.6,,10.0,22.7
2021_10_30@15,19.2,,2.1,71.0,0.0,0.3,,10.0,21.6
2021_10_30@16,18.6,0.0,1.4,71.0,0.0,0.05,,10.0,20.0
2021_10_30@17,18.2,0.2,1.9,69.0,0.0,0.06,,8.0,19.3
2021_10_30@18,17.9,,0.8,71.0,0.2,0.01,,5.0,18.0
2021_10_30@19,17.0,,1.3,78.0,,,,3.0,16.5
2021_10_30@20,16.1,,1.9,77.0,,,,2.0,15.6
2021_10_30@21,15.5,,1.9,80.0,,,,0.0,14.9
2021_10_30@22,15.2,,2.0,81.0,,,,2.0,14.4
2021_10_30@23,14.9,,2.3,75.0,,,,2.0,14.0
2021_10_31@0,14.8,,1.9,77.0,,,,0.0,13.7
2021_10_31@1,14.4,,1.3,79.0,,,,1.0,13.4
2021_10_31@2,14.3,,2.2,76.0,,,,1.0,13.2
2021_10_31@3,14.1,,2.0,79.0,,,,0.0,13.0
2021_10_31@4,13.7,,1.9,82.0,,,,7.0,13.0
2021_10_31@5,14.1,,2.0,83.0,,,,6.0,13.7
2021_10_31@6,13.8,,2.0,87.0,,,,2.0,13.0
2021_10_31@7,13.6,,1.7,89.0,0.0,0.0,,0.0,12.7
2021_10_31@8,14.1,,1.9,88.0,0.7,0.14,,0.0,13.1
2021_10_31@9,18.1,,1.3,74.0,1.0,0.83,,0.0,15.2
2021_10_31@10,21.3,,1.2,61.0,1.0,1.51,,0.0,21.0
2021_10_31@11,21.6,,2.4,56.0,1.0,2.06,,1.0,24.8
2021_10_31@12,21.6,,2.8,57.0,1.0,2.4,,2.0,27.8
2021_10_31@13,21.8,,3.5,53.0,1.0,2.48,,2.0,29.3
2021_10_31@14,21.5,,3.9,56.0,1.0,2.3,,1.0,29.3
2021_10_31@15,21.5,,3.5,54.0,1.0,1.9,,1.0,27.4
2021_10_31@16,21.3,,3.1,54.0,1.0,1.29,,2.0,23.1
2021_10_31@17,20.2,,2.0,55.0,1.0,0.56,,1.0,20.3
2021_10_31@18,18.5,,1.7,58.0,0.5,0.04,,0.0,18.4
2021_10_31@19,17.3,,1.6,64.0,,,,0.0,17.2
2021_10_31@20,16.0,,2.2,67.0,,,,0.0,16.2
2021_10_31@21,15.7,,3.0,67.0,,,,0.0,15.6
2021_10_31@22,15.2,,2.5,64.0,,,,6.0,15.0
2021_10_31@23,15.2,,2.6,66.0,,,,8.0,14.8
2021_11_01@0,15.4,,2.3,69.0,,,,4.0,14.5
2021_11_01@1,15.5,,2.3,76.0,,,,2.0,14.6
2021_11_01@2,15.3,,2.0,80.0,,,,5.0,14.4
2021_11_01@3,14.9,,2.1,82.0,,,,2.0,14.0
2021_11_01@4,14.6,,2.6,79.0,,,,7.0,14.0
2021_11_01@5,14.7,,1.8,81.0,,,,7.0,14.0
2021_11_01@6,14.6,,2.6,78.0,,,,5.0,13.8
2021_11_01@7,14.4,,2.3,77.0,0.0,0.0,,4.0,13.5
2021_11_01@8,15.5,,2.5,74.0,0.0,0.07,,9.0,14.9
2021_11_01@9,17.2,,1.2,75.0,0.0,0.26,,9.0,17.0
2021_11_01@10,19.5,,2.7,69.0,0.2,0.71,,8.0,19.8
2021_11_01@11,20.7,,2.4,70.0,0.6,1.21,,7.0,22.8
2021_11_01@12,21.2,,2.5,65.0,0.8,1.97,,8.0,25.9
2021_11_01@13,20.8,,3.4,69.0,0.5,1.59,,4.0,26.6
2021_11_01@14,21.3,,3.1,65.0,0.9,1.93,,2.0,27.6
2021_11_01@15,21.0,,3.0,65.0,1.0,1.62,,3.0,26.2
2021_11_01@16,20.0,,2.8,70.0,0.8,0.97,,5.0,23.3
2021_11_01@17,19.1,,2.8,70.0,0.2,0.32,,6.0,21.3
2021_11_01@18,18.3,,3.2,69.0,0.0,0.0,,6.0,19.2
2021_11_01@19,18.0,,3.8,71.0,,,,1.0,18.2
2021_11_01@20,17.8,,3.5,73.0,,,,4.0,17.9
2021_11_01@21,17.3,,4.3,74.0,,,,8.0,17.6
2021_11_01@22,17.1,,4.1,69.0,,,,7.0,17.2
2021_11_01@23,16.7,,3.7,70.0,,,,4.0,16.6
2021_11_02@0,16.3,,4.1,70.0,,,,7.0,15.9
2021_11_02@1,16.1,,4.4,69.0,,,,3.0,15.8
2021_11_02@2,15.9,,4.4,69.0,,,,5.0,15.6
2021_11_02@3,15.5,,2.8,65.0,,,,6.0,14.9
2021_11_02@4,15.4,,3.1,62.0,,,,5.0,14.5
2021_11_02@5,15.4,,3.4,65.0,,,,7.0,14.4
2021_11_02@6,15.3,,3.7,72.0,,,,8.0,14.4
2021_11_02@7,15.2,,3.9,65.0,0.0,0.0,,6.0,14.1
2021_11_02@8,15.6,,3.5,67.0,0.0,0.05,,7.0,14.8
2021_11_02@9,16.4,,4.7,62.0,0.4,0.47,,6.0,16.2
2021_11_02@10,18.0,,3.8,55.0,0.8,1.25,,5.0,20.2
2021_11_02@11,18.3,,3.5,54.0,0.6,1.53,,7.0,22.2
2021_11_02@12,18.9,,3.6,51.0,0.8,2.16,,6.0,26.3
2021_11_02@13,19.3,,4.6,51.0,0.8,2.28,,7.0,28.0
2021_11_02@14,18.3,,4.4,56.0,0.4,1.32,,8.0,25.4
2021_11_02@15,18.4,,4.6,48.0,0.8,1.5,,8.0,24.5
2021_11_02@16,18.1,,4.1,53.0,0.7,1.16,,7.0,22.3
2021_11_02@17,16.5,,4.1,54.0,0.4,0.5,,8.0,19.8
2021_11_02@18,15.9,,3.7,56.0,0.0,0.02,,9.0,18.1
2021_11_02@19,15.8,,3.8,62.0,,,,6.0,17.2
2021_11_02@20,15.9,,4.4,63.0,,,,6.0,16.9
2021_11_02@21,15.5,,3.6,61.0,,,,7.0,16.1
2021_11_02@22,15.3,,3.1,58.0,,,,4.0,15.4
2021_11_02@23,15.2,,4.5,62.0,,,,3.0,15.6
2021_11_03@0,15.0,,3.9,64.0,,,,7.0,15.1
2021_11_03@1,14.8,,2.7,62.0,,,,5.0,14.8
2021_11_03@2,14.8,,2.6,64.0,,,,7.0,14.9
2021_11_03@3,14.7,,2.9,67.0,,,,7.0,14.4
2021_11_03@4,14.6,,3.0,65.0,,,,6.0,14.0
2021_11_03@5,14.1,,2.0,71.0,,,,6.0,13.6
2021_11_03@6,14.5,,4.2,70.0,,,,7.0,13.7
2021_11_03@7,14.6,,3.6,69.0,0.0,0.0,,6.0,13.6
2021_11_03@8,14.8,,3.8,68.0,0.0,0.04,,6.0,14.0
2021_11_03@9,16.7,,3.3,63.0,0.9,0.82,,5.0,15.7
2021_11_03@10,18.0,,3.2,60.0,0.9,1.4,,5.0,20.5
2021_11_03@11,17.8,,3.3,56.0,0.7,1.64,,4.0,21.8
2021_11_03@12,18.8,,3.0,56.0,0.9,2.23,,4.0,26.3
2021_11_03@13,19.4,,2.8,56.0,1.0,2.32,,2.0,28.2
2021_11_03@14,19.4,,3.0,57.0,1.0,2.13,,2.0,28.2
2021_11_03@15,19.0,,3.9,56.0,1.0,1.84,,2.0,26.3
2021_11_03@16,18.5,,3.9,56.0,1.0,1.17,,2.0,22.0
2021_11_03@17,17.2,,3.9,62.0,0.8,0.48,,7.0,19.4
2021_11_03@18,15.9,,3.8,68.0,0.0,0.01,,3.0,17.6
2021_11_03@19,15.6,,3.3,68.0,,,,4.0,16.5
2021_11_03@20,15.2,,2.8,69.0,,,,4.0,15.8
2021_11_03@21,14.9,,2.4,70.0,,,,4.0,15.2
2021_11_03@22,14.7,,1.6,73.0,,,,5.0,14.9
2021_11_03@23,14.7,,2.1,73.0,,,,5.0,14.4
2021_11_04@0,14.2,,2.4,75.0,,,,2.0,14.0
2021_11_04@1,13.7,,1.9,77.0,,,,3.0,13.5
2021_11_04@2,13.6,,1.6,79.0,,,,2.0,13.2
2021_11_04@3,13.3,,2.1,80.0,,,,1.0,13.0
2021_11_04@4,13.1,,2.1,81.0,,,,2.0,12.7
2021_11_04@5,13.0,,1.4,78.0,,,,6.0,12.9
